'base';'cs'
'lang_code';'cs'
;
;
'Account';'Účet'
'Login';'Přihlásit'
'Logout';'Odhlásit'
'registration';'Registace'
'forgotten_password';'Zapomenuté heslo'
'Password';'Heslo'
'curt admin';'Kurty'
'price admin';'Ceny'
'schedule admin';'Rozvrhy'
'rights admin';'Práva'
'reservation admin';'Rezervace'
'No schedule ';'Pro toto datum neexistuje žádný rozvrh'
'Curt';'Kurt'
'Time';'Čas'
'Price';'Cena'
'Delete';'Smazat'
'Total price';'Cena celkem'
'Save';'Uložit'
'Delete all';'Smazat vše'
'Cancel';'Zrušit'
'Update';'Aktualizovat'
'Account_update_success';'Učet úspěšně aktualizován'
'registration_successfull';'Registrace proběhla úspěšně'
'registration_mail_send';'Registrační údaje byly úspěšně odsláný na Váš email'
'registration_mail_send_failed';'Odeslání registračního mailu selhalo'
'forgotten_password_unknow_user';'Email není registrován'
'forgotten_password_resend';'Nové heslo bylo úsěšně odesláno na Váš email'
'forgotten_password_resend_failed';'Odeslání nového hesla selhalo'
'Forgotten password';'Zapomenuté heslo'
'Send';'Odeslat'
'Registration';'Registrace'
'Register';'Registrovat'
'Unavailable';'Nedostupné'
'Occupied';'Obsazeno'
'Reserved';'Rezervováno'
'Roles';'Role'
'Create role';'vytvořit roli'
'Delete role';'Smazat roli'
'Users';'Uživatelé'
'Add playground user';'Přiřadit uživatele'
'Delete playground user';'Odebrat uživatele'
'Delete user role';'Odebrat roli'
'Add user role';'Přiřadit roli'
'Delete role perm';'Odebrat právo'
'Add role perm';'Přiřadit právo'
'Add user perm';'Přiřadit právo'
'Delete user perm';'Odebrat právo'
'Are you sure? This could not be undone!';'Tuto operaci nelze vrátit, opravdu chcete pokračovat?'
'No active schedule/curt for this sport and date';'Pro tento sport není v daném termínu žádný aktivní rozvrh/kurt'
'Users who have credential<br />to select this price category <br />in reservation administration';'Uživatelé kteří mají právo<br /> zvolit tuto cenovou kategorii <br />při vytváření rezervace<br /> pokud neni cenová kategorie veřejná'
'Fullname';'Jméno'
'Date';'Datum'
'price_category admin';'Cenové kategorie'
'Is public';'Veřejná'
'Price category user list';'Uživatelé'
'Price category administration';'cen. Kategorie'
'Another active schedule for this period and curt(s)';'Pro toto období a kurt(y) již rozvrh existuje'
'Reservation saved successfully';'Rezervace byla úspěšně uložena'
'Reservation deleted successfully';'Rezervace byla úspěšně smazána'
'Price category';'Cenová kategorie'
'At least one price category must be public';'Alespoň jedna cenová kategorie musí být veřejná'
'You are not allowed for this action';'Pro tuto akci nemáte oprávnění'
;
;
'Curt administration';'Kurty'
'Schedule administration';'Rozvrhy'
'Price administration';'Ceny'
'Rights administration';'Práva'
'Reservation administration';'Rezervace'
'Name';'Název'
'Amount';'Částka'
'Active';'Aktivní'
'Color';'Barva'
'Price user list';'Uživatelé'
'Active from';'Aktivní od'
'Activo to';'Aktivní do'
'Schedule price list';'Ceny'
'Edit prices';'Editovat ceny'
'Edit schedule';'Editovat rozvrh'
'Monday';'Pondělí'
'Tuesday';'Úterý'
'Wednesday';'Středa'
'Thursday';'Čtvrtek'
'Friday';'Pátek'
'Saturday';'Sobota'
'Sunday';'Neděle'
'User';'Uživatel'
'Repeat (weekly)';'Opakovat (týdně)'
'Password (again)';'Heslo (znovu)'
'Firstname';'Jméno'
'Surname';'Příjmení/Firma'
'Phone';'Telefon'
'Required.';'Požadováno'
'Order no';'Pořadí'
'Repeat from';'Opakovat od'
'Repeat to';'Opakovat do'
'Role deleted successfully';'Role úspěšně smazána'
'Role created successfully';'Role úspěšně vytvořena'
'Role creating failed';'Vytvoření role selhalo'
'User deleted successfully';'Uživatel úspěšně smazán'
'Unable to add user';'Vytoření uživatele selhalo'
'Users added succesfully';'Uživatel úspěšně přidán'
'Perm added successfully';'Právo úspěně přiřazeno'
'Perm deleted successfully';'Právo úspěšně odebráno'
'Role added successfully';'Role úspěšně přiřazena'
'Role removed successfully';'Role úspěně odebrána'
'Period length';'Perioda'
'Time from';'Čas od'
'Time to';'Čas do'
'30 minute';'30 minut'
'1 hour';'1 hodina'
;
'Active to';'Aktivní do'
'Schedule curt list';'Kurt'
;
'Price for time changed successfully';'Cena pro daný čas byla úspěšně změněna'
'Price changed successfully';'Cena pro daný den v týdnu a čas byla úspěšně změněna'
'Price of weekday changed successfully';'Cena pro daný den v týdnu byla úspěšně změněna'
'Reservation created successfully';'Rezervace byla úspěšně vytvořena'
'Reservation part deleted successfully';'Položka byla úspěšně smazána'
'Reservation part added successfully';'Položka byla úspěšně přidána'
'Back';'Zpět'
'Unable to add repeating for date %date%, curt %curt% and time %time%';'Nelze přidat opakování pro datum %date%, kurt %curt% čas %time%'
;
'Curt time zone occupied';'Kurt je v tomto čase obsazen'
'Time from must be less or equal to time to';'Čas od musí být menší roven času do'
'Repeat to must be greather or equal to reservation date';'Opakovat do musí být větší rovno datu rezervace'
'Schedule is active from %active_from%';'Rozvrh je aktivní do %active_from%'
'Schedule is active to %active_to%';'Rozvrh je aktivní do %active_to%'
'Repeat from must be less or equal to reservation date';'Opakovat od musí být menší rovno datu rezervace'
'Repeat from must be less or equal to repeat to';'Opakovat od musí menší rovno opakovat do'
'Repeat from is required';'Opakovat od je požadováno'
'Repeat to is required';'Opakovat od je požadováno'
'From';'Od'
'To';'Do'
'Amount for price in this price category';'Hodnota rezervace pro tuto  cenu'
'Amount in price category for this price';'Hodnota rezervace pro tuto cenovou kategorii'
'Security user group list';'Skupina uživatelů'
'user admin';'Uživatelé'
'Price category security group list';'Skupiny uživatelů'
'Users groups which have credential<br />to select this price category <br />in reservation administration';'Skupiny uživatelů, které mají právo<br />zvolit tuto cenovou kategorii<br />při vytváření rezervace<br />pokud neni cenová kategorie veřejná'
'group admin';'Skupiny uživatelů'
'User administration';'Uživatelé'
'group administration';'Skupiny uživatelů'
'Playground administration';'Hřiště'
'playground admin';'Hřiště'
'Playground sport list';'Sporty'
'Save and send';'Uložit a odeslat'
'Separate the recipients with comma';'Příjemce oddělte čárkou'
'Mail administration';'Maily'
'mail admin';'Maily'
'Sport administration';'Sporty'
'sport admin';'Sporty'
'Sended';'Odeslán'
'Recipients';'Příjemci'
'Subject';'Předmět'
'Message';'Zpráva'
'yes or no';'Ano i ne'
'yes';'Ano'
'no';'Ne'
'Please update your profile and select you user group for this playground';'Prosím aktualizujte svůj účet a zvolte svou skupinu uživatelů pro toto sportoviště'
'Undefined page';'Stránka nenalezena'
'Sender';'Odesílatel'
'Perex';'Krátký popis'
'Descrip';'Popis'
'Capacity';'Kapacita'
'Tournament saved successfully';'Turnaj byl úspěšně uložen'
'Training saved successfully';'Trénink byl úspěšně uložen'
'Players count';'Hráčů v týmu'
'tournament admin';'Turnaje'
'Player';'Hráč'
'Coplayer';'Spoluhráč'
'Participations count';'Účast'
'tournament admin';'Turnaje'
'training admin';'Tréninky'
'Tournament administration';'Turnaje'
'Training administration';'Tréninky'
;
'Unregister';'Odhlásit'
'Created at';'Vytvořeno'
'Per page';'Zobrzit položek'
'All';'Vše'
'No active tournament';'Žádný aktivní turnaj'
'No active training';'Žádný aktivní trénink'
'No User';'Žádný uživatel'
'No Mail';'Žádný email'
'For registration you must %s';'Pokud se chcete zůčastnit, musíte se %s do systému'
'For reservation you must be %s';'Pokud chcete vytvářet/měnit rezervace, musíte se %s do systému'
'day';'den'
'days';'dny'
'week';'týden'
'weeks';'týdny'
'Please select playground';'Prosím zvolte sportoviště'
;
'Allow substitutions';'Náhradníci'
'Substitutions';'Náhradníci'
'Players';'Hráči'
;
'Results updated successfully';'Pořadí úspěšně uloženo'
'Results update failed';'Uložení pořadí selhalo'
;
'Rating';'Pořadí'
'Points';'Počet bodů'
'Ratings';'Ohodnocení'
'Results';'Výsledky'
'Ratings updated successfully';'Bodové hodnocení úspěšně uloženo'
'Ratings update failed';'Uložení bodového hodnocení selhalo'
'Register till';'Registrovat do'
'event_group admin';'Soutěže'
'Event group';'Soutěž'
'Tournaments';'Turnaje'
'No active event group';'Žádná aktivní soutěž'
'Total';'Celkem'
;
'Login';'Přihlásit'
'Playground module list';'Moduly'
'Playground user list';'Uživatelé'
'Playground must have associated at least one price category';'Hřiště musí mít alespoň jednu cenovou kategorii'
;
'Previous';'Předchozí'
'Next';'Následující'
'Month';'Měsíc'
'Year';'Rok'
'Week';'Týden'
'Administration';'Administrace'
'Time from must be less or equal to time to';'Čas “od” musí být menší roven času “do”'
'Edit';'Editovat'
'Close';'Zavřít'
'The passwords must be equal';'Hesla se musejí shodovat'
'Send password';'Odeslat heslo'
'Action';'Akce'
;
'of curt';'Kurty'
'of price';'Ceny'
'of price_category';'Cenové kategorie'
'of schedule';'Rozvrhy'
'of rights';'Práva'
'of user';'Uživatelé'
'of group';'Skupiny uživatelů'
'of mail';'Maily'
;
'Edit curt';'Editace kurtu'
'Edit price';'Editace ceny'
'Edit priceCategory';'Editace cenové kategorie'
'Edit schedule';'Editace rozvrhu'
'Edit user';'Editace uživatele'
'Edit group';'Editace skupiny uživatelů'
'Edit mail';'Editace mailu'
;
'New curt';'Nový kurt'
'New price';'Nová cena'
'New priceCategory';'Nová cenová kategorie'
'New schedule';'Nový rozvrh'
'New user';'Nový uživatel'
'New group';'Nová skupina uživatelů'
'New mail';'Nový mail'
;
'Prices';'Ceny'
'Schedule';'Rozvrh'
;
;
'Filter priceCategory';'Filtrovat cenové kategorie'
'Filter curt';'Filtrovat kurty'
'Filter price';'Filtrovat ceny'
'Filter schedule';'Filtrovat rozvrhy'
'Filter training';'Filtrovat tréninky'
'Filter tournament';'Filtrovat turnaje'
;
'Participations';'Účastníci'
'Edit event';'Editace události'
'Coplayer';'Spoluhráč'
;
'No free capacity';'Kapacita naplněna'
'Reservation creation/update failed';'Vytvoření/aktualizace rezervace se nezdařila'
'Reservation repeating failed';'Opakování rezervace se nezdařilo'
'Shorted name';'Název'
'Price categories';'Cenové kategorie'
'CZK';'Kč'
'The item was updated successfully';'Položka byla úspěšně aktualizována'
'The item was created successfully';'Položka byla úspěšně vytvořena'
'The item was deleted successfully';'Položka byla úspěšně smazána'
'There must be at least one price category which is public';'Alespoň jedna cenová kategorie musí byt veřejná'
;
'User adding failed';'Přidání uživatele selhalo'
'Mail saved and send successfully';'Mail byl úspěšně odeslán'
'Invalid password';'Špatné heslo'
'login';'přihlásit'
;
'New eventGroup';'Nová soutěž'
'Edit eventGroup';'Editace soutěže'
'Filter eventGroup';'Filtrovat soutěže'
'Participate';'Přihlásit'
'Edit tournament';'Editace turnaje'
'New tournament';'Nový turnaj'
'Edit training';'Editace tréninku'
'New training';'Nový trénink'
'You must at least select one item.';'Musíte vybrat alespoň jednu položku'
'You must select an action to execute on the selected items.';'Musíte vybrat akci, která se má provést'
'Paid';'Vyplaceno'
'Yes';'Ano'
'No';'Ne'
'Invalid.';'Špatný formát'
'Send';'Odeslat'
'Booking system';'Rezervační systém'
'Send mail';'Odeslat zprávu'
'This version of Internet Explorer is deprecated and not supported. Please upgrade your Internet Explorer or switch to other browser.';'Tato verse internet exploreru již není plně podporovaná. Aktualizujte si prosím svůj prohlížeč, nebo zvolte jiný.'
'Curt %curt% is occupied at time %time%';'Kurt %curt% je v %time% obsazen'
'Reservation curt list';'Kurt'
'There are some reservation before %active_from%, maximal active from date is %limit_reservation_date%';'Před datem  %active_from% existují nějaké rezervace, maximální datum “aktivní od” je %limit_reservation_date%'
'There are some reservation after %active_to%, minimal active to date is %limit_reservation_date%';'Po datu  %active_to% existují nějaké rezervace, minimální datum “aktivní do” je %limit_reservation_date%'
;
'Schedule user list';'Uživatelé'
'Schedule is public';'Veřejný'
'Users groups which have credential<br />to see this schedule';'Uživatelé, kteří smějí vidět tento rozvrh'
'Schedule security group list';'Skupiny uživatelů'
'There is no curt for %sport%  at %date%';'Dne %date% není pro %sport% naplánovaný žádný kurt '
'Show';'Zobrazit'
'Favorite sport';'Hlavní sport'
'Edit playground';'Editace hřiště'
'New playground';'Nové hřiště'
'Filter playground';'Filtrovat hřiště'
'of playground';'Hřiště'
'of sport';'Sporty'
;
;
'sale admin';'Slevy'
'of sale';'Slevy'
'New sale';'Nová sleva'
'Edit sale';'Editace slevy'
'Filter sale';'Filtrovat slevy'
'Sale administration';'Slevy'
'Curt count';'Počet obsazených kurtů'
'There is sale "%sale%" for curt count "%curt_count%" price "%price%" and price category "%price_category%"';'Již existuje sleva "%sale%" pro počet kurtů "%curt_count%" cenu "%price%" a cenovou kategorii "%price_category%"'
'Sale';'Sleva'
;
'Red';'Červená'
'Green';'Zelená'
'Blue';'Modrá'
'Light blue';'Světle modrá'
'Orange';'Oranžová'
;
'Reports';'Reporty'
'Report reservations';'Rezervace'
'Date from';'Datum od'
'Date to';'Datum do'
'of reservations';'Rezervace'
'Report administration';'Reporty'
'Prices';'Ceny'
'Note';'Poznámka'
'15 minute';'15 minut'
'Version of your browser is deprecated and not supported. Please upgrade your browser or switch to other browser.';'Verze vašeho prohlížeče není aktuální a nemusí již být plně podporována. Pro zajištění správného fungování aplikace si prosím aktualizujte svůj prohlížeč.'
'Create';'Vytvořit'
'Add';'Přidat'
;
